Iteration: 1024, Creation Time: 9.31 sec, Embedding Time: 1.65 sec, Workflow Time: 22.16 sec
Iteration: 1025, Creation Time: 9.07 sec, Embedding Time: 1.75 sec, Workflow Time: 33.10 sec
Iteration: 1026, Creation Time: 9.22 sec, Embedding Time: 2.68 sec, Workflow Time: 23.44 sec
Iteration: 1027, Creation Time: 9.45 sec, Embedding Time: 2.24 sec, Workflow Time: 18.26 sec
Iteration: 1028, Creation Time: 9.47 sec, Embedding Time: 4.72 sec, Workflow Time: 25.75 sec
Iteration: 1029, Creation Time: 9.58 sec, Embedding Time: 2.37 sec, Workflow Time: 43.91 sec
Iteration: 1030, Creation Time: 9.59 sec, Embedding Time: 3.02 sec, Workflow Time: 23.90 sec
Iteration: 1031, Creation Time: 9.51 sec, Embedding Time: 1.94 sec, Workflow Time: 17.07 sec

Iteration: 1023, Creation Time: 8.74 sec, Embedding Time: 2.17 sec, Workflow Time: 10.89 sec
Iteration: 1024, Creation Time: 9.26 sec, Embedding Time: 2.05 sec, Workflow Time: 10.48 sec
Iteration: 1025, Creation Time: 9.36 sec, Embedding Time: 1.58 sec, Workflow Time: 16.29 sec
Iteration: 1026, Creation Time: 9.22 sec, Embedding Time: 2.13 sec, Workflow Time: 15.21 sec
Iteration: 1027, Creation Time: 9.62 sec, Embedding Time: 2.26 sec, Workflow Time: 16.68 sec
Iteration: 1028, Creation Time: 9.53 sec, Embedding Time: 6.04 sec, Workflow Time: 21.31 sec
Iteration: 1029, Creation Time: 9.67 sec, Embedding Time: 2.79 sec, Workflow Time: 21.26 sec
Iteration: 1030, Creation Time: 9.41 sec, Embedding Time: 3.28 sec, Workflow Time: 13.74 sec
Iteration: 1031, Creation Time: 9.61 sec, Embedding Time: 1.72 sec, Workflow Time: 13.82 sec
Iteration: 1032, Creation Time: 9.29 sec, Embedding Time: 1.85 sec, Workflow Time: 14.39 sec

Iteration: 1024, Creation Time: 9.85 sec, Embedding Time: 3.66 sec, Workflow Time: 17.03 sec
Iteration: 1025, Creation Time: 9.69 sec, Embedding Time: 1.52 sec, Workflow Time: 14.27 sec
Iteration: 1026, Creation Time: 9.29 sec, Embedding Time: 2.65 sec, Workflow Time: 11.67 sec
Iteration: 1027, Creation Time: 9.13 sec, Embedding Time: 2.78 sec, Workflow Time: 7.01 sec
Iteration: 1028, Creation Time: 9.22 sec, Embedding Time: 1.59 sec, Workflow Time: 15.40 sec
Iteration: 1029, Creation Time: 9.53 sec, Embedding Time: 1.83 sec, Workflow Time: 16.71 sec
Iteration: 1030, Creation Time: 9.10 sec, Embedding Time: 3.10 sec, Workflow Time: 14.79 sec
Iteration: 1031, Creation Time: 9.32 sec, Embedding Time: 1.38 sec, Workflow Time: 22.11 sec
Iteration: 1032, Creation Time: 9.21 sec, Embedding Time: 2.09 sec, Workflow Time: 21.81 sec
Iteration: 1033, Creation Time: 9.29 sec, Embedding Time: 6.16 sec, Workflow Time: 18.45 sec

Iteration: 1025, Creation Time: 9.36 sec, Embedding Time: 2.38 sec, Workflow Time: 23.47 sec
Iteration: 1026, Creation Time: 9.18 sec, Embedding Time: 1.95 sec, Workflow Time: 11.48 sec
Iteration: 1027, Creation Time: 9.30 sec, Embedding Time: 1.58 sec, Workflow Time: 11.15 sec
Iteration: 1028, Creation Time: 9.58 sec, Embedding Time: 1.35 sec, Workflow Time: 14.50 sec
Iteration: 1029, Creation Time: 9.54 sec, Embedding Time: 2.21 sec, Workflow Time: 17.43 sec
Iteration: 1030, Creation Time: 9.58 sec, Embedding Time: 1.56 sec, Workflow Time: 16.11 sec
Iteration: 1031, Creation Time: 9.66 sec, Embedding Time: 1.88 sec, Workflow Time: 15.40 sec
Iteration: 1032, Creation Time: 9.32 sec, Embedding Time: 2.32 sec, Workflow Time: 23.45 sec
Iteration: 1033, Creation Time: 9.94 sec, Embedding Time: 1.60 sec, Workflow Time: 18.80 sec
Iteration: 1034, Creation Time: 9.62 sec, Embedding Time: 2.77 sec, Workflow Time: 23.05 sec

Iteration: 1026, Creation Time: 9.53 sec, Embedding Time: 1.96 sec, Workflow Time: 15.07 sec
Iteration: 1027, Creation Time: 9.77 sec, Embedding Time: 1.62 sec, Workflow Time: 19.49 sec
Iteration: 1028, Creation Time: 10.09 sec, Embedding Time: 1.65 sec, Workflow Time: 17.18 sec
Iteration: 1029, Creation Time: 9.44 sec, Embedding Time: 2.05 sec, Workflow Time: 13.28 sec
Iteration: 1030, Creation Time: 9.34 sec, Embedding Time: 1.40 sec, Workflow Time: 17.02 sec
Iteration: 1031, Creation Time: 9.68 sec, Embedding Time: 2.30 sec, Workflow Time: 20.06 sec
Iteration: 1032, Creation Time: 9.33 sec, Embedding Time: 4.63 sec, Workflow Time: 26.56 sec
Iteration: 1033, Creation Time: 9.03 sec, Embedding Time: 4.49 sec, Workflow Time: 20.83 sec
Iteration: 1034, Creation Time: 9.12 sec, Embedding Time: 1.65 sec, Workflow Time: 8.14 sec
Iteration: 1035, Creation Time: 8.55 sec, Embedding Time: 1.64 sec, Workflow Time: 6.34 sec

Iteration: 1027, Creation Time: 8.82 sec, Embedding Time: 1.78 sec, Workflow Time: 6.35 sec
Iteration: 1028, Creation Time: 8.80 sec, Embedding Time: 1.89 sec, Workflow Time: 21.21 sec
Iteration: 1029, Creation Time: 9.29 sec, Embedding Time: 1.86 sec, Workflow Time: 11.28 sec
